,time,gene,well,fluorescence,fluorescence_normed
492,24600,cgre,D1,12134.0,0.9501213687260199
493,24650,cgre,D1,12060.0,0.9443269908386187
494,24700,cgre,D1,12032.0,0.9421345235298724
495,24750,cgre,D1,12308.0,0.9637459870018009
496,24800,cgre,D1,12268.0,0.960613890846449
497,24850,cgre,D1,12215.0,0.9564638634406076
498,24900,cgre,D1,12245.0,0.9588129355571215
499,24950,cgre,D1,12143.0,0.9508260903609741
500,25000,cgre,D1,12047.0,0.9433090595881294
501,25050,cgre,D1,11900.0,0.9317986062172109
502,25100,cgre,D1,11936.0,0.9346174927570277
503,25150,cgre,D1,12051.0,0.9436222692036645
504,25200,cgre,D1,11861.0,0.9287448124657427
505,25250,cgre,D1,12152.0,0.9515308119959283
506,25300,cgre,D1,11914.0,0.9328948398715841
507,25350,cgre,D1,12080.0,0.9458930389162947
508,25400,cgre,D1,12152.0,0.9515308119959283
509,25450,cgre,D1,11983.0,0.9382977057395662
510,25500,cgre,D1,12099.0,0.9473807845900869
511,25550,cgre,D1,11925.0,0.9337561663143058
512,25600,cgre,D1,11970.0,0.9372797744890768
513,25650,cgre,D1,11999.0,0.939550544201707
514,25700,cgre,D1,11998.0,0.9394722417978232
515,25750,cgre,D1,12096.0,0.9471458773784355
516,25800,cgre,D1,12261.0,0.9600657740192624
517,25850,cgre,D1,11948.0,0.9355571216036332
518,25900,cgre,D1,12048.0,0.9433873619920131
519,25950,cgre,D1,11998.0,0.9394722417978232
520,26000,cgre,D1,11866.0,0.9291363244851617
521,26050,cgre,D1,12409.0,0.9716545297940646
522,26100,cgre,D1,12190.0,0.9545063033435126
523,26150,cgre,D1,12345.0,0.9666431759455015
524,26200,cgre,D1,12131.0,0.9498864615143685
525,26250,cgre,D1,12156.0,0.9518440216114634
526,26300,cgre,D1,12289.0,0.9622582413280087
527,26350,cgre,D1,12161.0,0.9522355336308824
528,26400,cgre,D1,12186.0,0.9541930937279774
529,26450,cgre,D1,12336.0,0.9659384543105474
530,26500,cgre,D1,12294.0,0.9626497533474278
531,26550,cgre,D1,12074.0,0.945423224492992
532,26600,cgre,D1,12238.0,0.958264818729935
533,26650,cgre,D1,12136.0,0.9502779735337875
